date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:12	126/126	---M-Z	200	added ('OK')	text/plain	date:Sun,%2014%20Apr%202024%2016:18:12%20GMT	https://www.team17.com/robots.txt		(from )
18:18:12	96896/96896	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Apr%202024%2016:18:13%20GMT	https://www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/	C:/My%20Web%20Sites/overcooked/www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/index.html	(from )
18:18:13	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-610b8f54dd2e8-gzip%22	https://www.team17.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.7	C:/My%20Web%20Sites/overcooked/www.team17.com/wp-content/plugins/contact-form-7/includes/css/styles38d6.css	(from https://www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/)
18:18:13	405/405	---M-Z	200	added ('OK')	text/css	etag:%22195-5fd0d324f1900-gzip%22	https://www.team17.com/wp-content/themes/framework/style.css?ver=1.0.5	C:/My%20Web%20Sites/overcooked/www.team17.com/wp-content/themes/framework/style97de.css	(from https://www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/)
18:18:14	6112/6112	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2014%20Apr%202024%2016:18:15%20GMT	http://script.crazyegg.com/pages/scripts/0108/8667.js	C:/My%20Web%20Sites/overcooked/script.crazyegg.com/pages/scripts/0108/8667.js	(from https://www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/)
18:18:14	11624/11624	---M--	200	added ('OK')	image/png	etag:%222d68-5b012e6d26000%22	https://www.team17.com/wp-content/uploads/2020/08/cropped-T17-Icon1-192x192-1-150x150.png	C:/My%20Web%20Sites/overcooked/www.team17.com/wp-content/uploads/2020/08/cropped-T17-Icon1-192x192-1-150x150.png	(from https://www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/)
18:18:14	926/926	---M-Z	200	added ('OK')	application/rss+xml	etag:%22787e1c3fccf216535d69024ea551413f-gzip%22	https://www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/feed/	C:/My%20Web%20Sites/overcooked/www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/feed/index.html	(from https://www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/)
18:18:14	11706/11706	---M--	200	added ('OK')	image/png	etag:%222dba-5b012e85f1a80%22	https://www.team17.com/wp-content/uploads/2020/08/cropped-T17-Icon1-192x192-1.png	C:/My%20Web%20Sites/overcooked/www.team17.com/wp-content/uploads/2020/08/cropped-T17-Icon1-192x192-1.png	(from https://www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/)
18:18:14	575407/575407	---M--	200	added ('OK')	image/jpeg	etag:%228c7af-5b3b1b9f55680%22	https://www.team17.com/wp-content/uploads/2020/11/key-art-with-logo.jpg	C:/My%20Web%20Sites/overcooked/www.team17.com/wp-content/uploads/2020/11/key-art-with-logo.jpg	(from https://www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/)
18:18:15	88444/88444	---M--	200	added ('OK')	image/png	etag:%221597c-5b012b8824bc0%22	https://www.team17.com/wp-content/uploads/2020/08/cookies.png	C:/My%20Web%20Sites/overcooked/www.team17.com/wp-content/uploads/2020/08/cookies.png	(from https://www.team17.com/overcooked-all-you-can-eat-available-now-on-ps5-xbox-series-x/)
